"","topic","term","beta"
"1",1,"die",0.00582919328457411
"2",1,"see",0.00560633550786425
"3",1,"immortal",0.00511637522273622
"4",1,"dont",0.00485277084789514
"5",1,"’re",0.00478695246339346
"6",1,"finally",0.00476834389972171
"7",1,"ago",0.00434427478586633
"8",1,"make",0.00412977091108192
"9",2,"every",0.00850933568170581
"10",2,"first",0.00792394677416989
"11",2,"know",0.00637902407609997
"12",2,"youve",0.0059217146619943
"13",2,"will",0.00466524226180555
"14",2,"everyone",0.00460872224698037
"15",2,"earth",0.00437330526018769
"16",2,"work",0.00414501634356071
"17",3,"people",0.00904495611073516
"18",3,"earth",0.00776671247216767
"19",3,"person",0.00743829201975466
"20",3,"die",0.00620112472895335
"21",3,"see",0.00585018664944567
"22",3,"suddenly",0.00560989284351908
"23",3,"aliens",0.00497852988079062
"24",3,"back",0.00465875099408007
