"","doc_id","negative","positive","sentiment"
"1","3pyg3h",3,0,-3
"2","4kakxx",1,1,0
"3","4m7yfs",1,0,-1
"4","4roo7f",2,0,-2
"5","4t6wso",1,0,-1
"6","4vv4o7",1,0,-1
"7","4w1zu9",2,0,-2
"8","4ww8ws",3,2,-1
"9","4xji8z",1,3,2
"10","4xzr87",1,1,0
"11","4ykq36",2,0,-2
"12","544dsx",2,2,0
"13","55gme5",2,1,-1
"14","57m2rv",4,0,-4
"15","5b2dxu",0,1,1
"16","5d17at",0,2,2
"17","5e6rcz",1,0,-1
"18","5gz81v",1,0,-1
"19","5hrmux",1,0,-1
"20","5je6l4",1,0,-1
"21","5jx487",1,0,-1
"22","5m4mgd",2,0,-2
"23","5n5xca",1,1,0
"24","5nr4iq",2,3,1
"25","5qwzjo",0,1,1
"26","5rmgqe",6,1,-5
"27","5u5ulb",1,1,0
"28","5uilpw",2,1,-1
"29","5v9ews",1,1,0
"30","5w4x14",1,0,-1
"31","5whfln",1,2,1
"32","5x3gyg",1,0,-1
"33","5xlyuq",3,4,1
"34","5xqcrq",1,3,2
"35","5y5srb",1,1,0
"36","5z4jtm",5,2,-3
"37","5zbop5",1,4,3
"38","60w89c",2,1,-1
"39","61kkh8",2,1,-1
"40","61zl7r",1,2,1
"41","63dn97",1,0,-1
"42","63ku7q",4,1,-3
"43","640uvt",0,2,2
"44","64f67h",0,1,1
"45","64j8zd",1,0,-1
"46","64xj5g",2,2,0
"47","65458n",3,3,0
"48","65adkg",2,2,0
"49","65p0ek",2,2,0
"50","662nh6",2,1,-1
"51","66916c",3,1,-2
"52","66uo64",2,0,-2
"53","678g5v",1,0,-1
"54","67sqa4",2,2,0
"55","67yg6w",2,1,-1
"56","687gyb",1,0,-1
"57","68f5c5",2,2,0
"58","697oja",2,0,-2
"59","69dzba",1,0,-1
"60","69qsny",1,4,3
"61","6aqr8v",3,2,-1
"62","6ax7g6",1,1,0
"63","6cjqky",0,1,1
"64","6d1iqq",1,1,0
"65","6dxuj1",3,2,-1
"66","6ek8ji",3,1,-2
"67","6frin2",1,1,0
"68","6fx3k5",4,1,-3
"69","6h7ywr",0,1,1
"70","6hkjcl",3,1,-2
"71","6i00oy",1,1,0
"72","6i5aef",0,2,2
"73","6ibjj5",3,0,-3
"74","6igjwm",2,1,-1
"75","6imc4i",1,3,2
"76","6isay3",2,0,-2
"77","6ixx9u",1,1,0
"78","6j7caj",1,0,-1
"79","6jltzv",3,0,-3
"80","6jqao8",3,2,-1
"81","6jzrhf",1,0,-1
"82","6k8gdu",1,0,-1
"83","6kf6p8",0,1,1
"84","6klmha",0,1,1
"85","6lsxdr",1,0,-1
"86","6m7z8a",3,0,-3
"87","6mztko",1,1,0
"88","6n5kjh",3,1,-2
"89","6o18uh",2,0,-2
"90","6o679d",1,0,-1
"91","6ohgxv",1,2,1
"92","6ooyje",0,3,3
"93","6oujy1",2,1,-1
"94","6p9by7",1,0,-1
"95","6qbzj0",1,0,-1
"96","6r9hy1",1,4,3
"97","6szrbs",4,0,-4
"98","6tcoke",2,1,-1
"99","6tsiyd",3,1,-2
"100","6vip7h",2,4,2
"101","6wc5g3",3,0,-3
"102","6wgtsx",2,0,-2
"103","6xisxt",1,1,0
"104","6xngfe",1,0,-1
"105","6xsruw",1,0,-1
"106","6ynm49",1,0,-1
"107","6yzr6x",1,0,-1
"108","6zv41f",3,1,-2
"109","7023n7",3,0,-3
"110","708qwd",1,1,0
"111","70lpyc",3,7,4
"112","70on9p",1,0,-1
"113","70unt0",1,3,2
"114","71p51h",5,0,-5
"115","72esi8",1,1,0
"116","72l2aj",1,0,-1
"117","76jmip",1,1,0
"118","77dd17",1,0,-1
"119","77hgay",1,0,-1
"120","7866r7",0,1,1
"121","78gowo",0,6,6
"122","799uo1",2,0,-2
"123","79sctz",2,1,-1
"124","79ybz1",5,3,-2
"125","7a3qka",1,0,-1
"126","7adktz",2,0,-2
"127","7apvex",3,1,-2
"128","7avruu",1,1,0
"129","7bkepd",1,0,-1
"130","7bte6q",2,0,-2
"131","7bzdvt",1,1,0
"132","7cev3m",0,2,2
"133","7cqzzv",2,0,-2
"134","7d0x9k",4,0,-4
"135","7dcwik",1,0,-1
"136","7e9d07",0,1,1
"137","7ehgm4",1,0,-1
"138","7en7vl",2,0,-2
"139","7ezd5t",1,1,0
"140","7f58h2",0,1,1
"141","7fm82v",2,0,-2
"142","7fvk3r",1,1,0
"143","7g51zj",5,2,-3
"144","7gcmhi",4,0,-4
"145","7hg228",1,0,-1
"146","7hn7qo",0,2,2
"147","7hs1sw",3,0,-3
"148","7i3bs6",1,2,1
"149","7ies8a",2,4,2
"150","7iltd1",0,1,1
"151","7iq6mk",0,3,3
"152","7j202b",4,0,-4
"153","7jauzq",1,0,-1
"154","7jfvx7",1,0,-1
"155","7jjukm",0,1,1
"156","7jqj29",2,2,0
"157","7kbyn7",1,1,0
"158","7kh1ov",1,0,-1
"159","7l0gtd",1,3,2
"160","7ld0jk",0,1,1
"161","7ljopw",1,0,-1
"162","7lzk5g",0,3,3
"163","7mpor2",3,1,-2
"164","7n1ylm",2,4,2
"165","7n887l",2,2,0
"166","7nuteb",1,0,-1
"167","7od274",1,3,2
"168","7oija8",1,0,-1
"169","7pf9gr",3,2,-1
"170","7pkwvg",0,1,1
"171","7q0acw",1,2,1
"172","7q4gxr",4,0,-4
"173","7qhd41",3,0,-3
"174","7r6qu3",5,0,-5
"175","7rb6uj",2,0,-2
"176","7rpy8m",4,0,-4
"177","7ry6ep",3,1,-2
"178","7s5fxz",1,1,0
"179","7t3vyo",2,0,-2
"180","7trxtl",2,0,-2
"181","7u04a5",1,1,0
"182","7uezw8",1,0,-1
"183","7uj6fy",0,2,2
"184","7uyxhp",1,0,-1
"185","7v4onv",1,4,3
"186","7v8ind",2,2,0
"187","7wcaps",5,0,-5
"188","7xihva",1,2,1
"189","7xpwhc",3,0,-3
"190","7ydjza",0,2,2
"191","7yn2t4",1,2,1
"192","7ywtif",2,7,5
"193","7z70q9",2,3,1
"194","7zjsf0",1,1,0
"195","7zy1ao",2,0,-2
"196","80e40f",0,1,1
"197","80ls3v",1,0,-1
"198","80vvns",2,0,-2
"199","813gcd",4,1,-3
"200","81n6ls",4,1,-3
"201","825f8v",3,1,-2
"202","82bnip",2,1,-1
"203","82gjtv",2,2,0
"204","83age4",1,0,-1
"205","83fp05",3,0,-3
"206","83mehz",1,0,-1
"207","849wc3",0,1,1
"208","852cpy",1,2,1
"209","85bpul",3,0,-3
"210","87ak6w",2,0,-2
"211","87mvhk",4,5,1
"212","87tx3g",2,1,-1
"213","880j2a",1,2,1
"214","88iybx",4,0,-4
"215","88p6rp",1,1,0
"216","89gi5z",1,2,1
"217","89o8wh",0,2,2
"218","89urii",1,1,0
"219","8a18sf",3,3,0
"220","8aec6t",0,1,1
"221","8aiv65",2,1,-1
"222","8blnz0",0,1,1
"223","8c64x6",0,3,3
"224","8casnb",4,2,-2
"225","8d5b6d",4,3,-1
"226","8dkw3m",2,2,0
"227","8e2xxu",1,0,-1
"228","8elol1",4,1,-3
"229","8f6b2y",2,0,-2
"230","8fk0hr",1,0,-1
"231","8fnavq",3,1,-2
"232","8frz5k",2,0,-2
"233","8fx248",1,1,0
"234","8g0e8p",5,1,-4
"235","8gfhh9",1,1,0
"236","8gx9lu",1,1,0
"237","8h0e7k",3,1,-2
"238","8hcbbu",4,3,-1
"239","8hnw52",2,0,-2
"240","8hvuzc",0,3,3
"241","8i1j2j",4,1,-3
"242","8iytlk",2,0,-2
"243","8jhorx",3,3,0
"244","8jr7cn",3,0,-3
"245","8k4am7",1,1,0
"246","8kt1qb",2,3,1
"247","8kz0p4",2,2,0
"248","8l98f3",0,1,1
"249","8m4t2i",3,0,-3
"250","8maqk6",1,0,-1
"251","8n9hh7",1,1,0
"252","8nmjio",2,1,-1
"253","8ns9lc",1,0,-1
"254","8nzpdv",4,0,-4
"255","8o89ko",2,1,-1
"256","8ofkv1",4,1,-3
"257","8on59a",2,0,-2
"258","8owsb7",2,1,-1
"259","8p9uf8",0,1,1
"260","8pr271",1,1,0
"261","8q9qxn",1,0,-1
"262","8qhbvm",0,1,1
"263","8qsx2s",1,0,-1
"264","8rgbzz",3,1,-2
"265","8rutrj",5,2,-3
"266","8shvs2",1,0,-1
"267","8ssjgy",1,0,-1
"268","8tav3l",0,1,1
"269","8tmkfc",1,1,0
"270","8u98t7",1,0,-1
"271","8uu474",2,4,2
"272","8v3rr9",3,3,0
"273","8va8hg",2,1,-1
"274","8vmkv4",3,3,0
"275","8vr4k2",1,0,-1
"276","8vyqdq",1,0,-1
"277","8w49xl",4,0,-4
"278","8whpmc",0,4,4
"279","8x0xa7",1,1,0
"280","8x86s0",1,0,-1
"281","8xfyem",1,3,2
"282","8y1xpg",3,1,-2
"283","8z1sq1",2,0,-2
"284","8zcf8q",4,0,-4
"285","8zoqub",3,3,0
"286","90u1iv",1,1,0
"287","921mwf",0,1,1
"288","92m3eq",3,0,-3
"289","93aodt",4,0,-4
"290","94k0gv",2,3,1
"291","94szzz",0,2,2
"292","955l2n",4,1,-3
"293","96myl6",4,0,-4
"294","96srzw",1,3,2
"295","97t218",1,0,-1
"296","98bqt4",2,2,0
"297","9951vj",3,3,0
"298","99d7xs",1,1,0
"299","99ph2b",4,3,-1
"300","9afl62",1,1,0
"301","9al74d",1,0,-1
"302","9ary5u",1,2,1
"303","9az5a0",1,0,-1
"304","9be07f",1,0,-1
"305","9bolpv",1,1,0
"306","9bzz3z",3,0,-3
"307","9ckfk9",3,4,1
"308","9cv7ll",1,1,0
"309","9du7b7",0,1,1
"310","9e6209",2,1,-1
"311","9edjv0",1,0,-1
"312","9eljiy",2,0,-2
"313","9fs1os",5,1,-4
"314","9geejr",5,0,-5
"315","9gjlhj",0,2,2
"316","9gwz1h",3,1,-2
"317","9h4w4z",3,0,-3
"318","9hmekf",4,0,-4
"319","9hzwgd",0,5,5
"320","9ijqu3",2,2,0
"321","9j16mb",5,5,0
"322","9jfdmm",3,0,-3
"323","9jmewb",1,1,0
"324","9juwvy",1,5,4
"325","9jyn6j",5,0,-5
"326","9l0dam",2,0,-2
"327","9lvx1m",3,2,-1
"328","9m2fth",1,2,1
"329","9myi2u",0,1,1
"330","9neuk8",1,0,-1
"331","9nqjux",1,1,0
"332","9obfbu",4,2,-2
"333","9oi78f",1,3,2
"334","9om6df",0,2,2
"335","9pce7n",2,2,0
"336","9pnir5",1,6,5
"337","9pz7vt",1,3,2
"338","9q3r97",0,1,1
"339","9q907t",2,0,-2
"340","9qehma",1,1,0
"341","9qn4tw",2,0,-2
"342","9r4cj2",1,1,0
"343","9r981l",2,5,3
"344","9rr6j3",3,1,-2
"345","9rut3f",4,1,-3
"346","9scsaq",2,1,-1
"347","9sjttr",3,1,-2
"348","9soso6",2,1,-1
"349","9svqz7",0,1,1
"350","9t0f25",2,0,-2
"351","9tpjm1",2,0,-2
"352","9tv4z7",3,0,-3
"353","9u2rib",0,1,1
"354","9ud29t",3,3,0
"355","9uk8zi",0,2,2
"356","9up06t",1,0,-1
"357","9uxtst",1,2,1
"358","9v23bw",1,1,0
"359","9vlvw4",4,1,-3
"360","9vtrug",2,2,0
"361","9we3xd",1,1,0
"362","9wlmoi",3,1,-2
"363","9wsi1v",5,0,-5
"364","9x0lri",1,0,-1
"365","9x8f1o",0,2,2
"366","9xbx21",1,0,-1
"367","9xdu5u",2,0,-2
"368","9xlo3p",3,0,-3
"369","9xzsws",1,0,-1
"370","9y6waq",3,1,-2
"371","9yegig",0,2,2
"372","9yia3r",1,1,0
"373","9z1ia0",0,1,1
"374","9z6sp1",2,0,-2
"375","9zdwbh",6,1,-5
"376","9zio36",3,0,-3
"377","9zngfa",2,4,2
"378","a07pxq",2,0,-2
"379","a0klbk",4,0,-4
"380","a0rrkt",2,1,-1
"381","a0vxyv",1,0,-1
"382","a1b5yu",2,0,-2
"383","a1iaf4",3,0,-3
"384","a1rad3",2,2,0
"385","a1wasi",0,1,1
"386","a23n2z",3,1,-2
"387","a2ad0e",3,1,-2
"388","a2fa41",1,0,-1
"389","a2o1wq",1,1,0
"390","a2wu21",1,1,0
"391","a318ye",1,0,-1
"392","a36pqv",2,1,-1
"393","a3cczm",0,2,2
"394","a440gw",1,1,0
"395","a4hvm0",1,0,-1
"396","a4wbt8",2,4,2
"397","a53ojn",1,2,1
"398","a57mk6",3,2,-1
"399","a5gd8x",5,0,-5
"400","a5lefb",2,0,-2
"401","a64r1r",2,2,0
"402","a6pu7y",0,3,3
"403","a72i5s",0,2,2
"404","a7axti",9,2,-7
"405","a7m2dw",1,0,-1
"406","a7rfx9",2,0,-2
"407","a7ybez",3,0,-3
"408","a89sr1",4,2,-2
"409","a8j9oo",3,0,-3
"410","a8twz3",1,0,-1
"411","a95vyi",1,0,-1
"412","a9gw88",0,1,1
"413","a9rmn1",2,1,-1
"414","aa49v4",1,2,1
"415","aacr3y",1,1,0
"416","aalyyw",7,2,-5
"417","ab1x3d",2,1,-1
"418","ab802r",2,0,-2
"419","abewg0",1,1,0
"420","abjxid",2,5,3
"421","abue72",4,0,-4
"422","ac0mux",0,1,1
"423","acdcil",3,1,-2
"424","acjzv0",1,1,0
"425","acyi1p",1,1,0
"426","adi6j0",0,2,2
"427","ads1ip",2,1,-1
"428","advemf",0,1,1
"429","aei1c7",2,2,0
"430","aeyqt0",1,1,0
"431","af6mmu",5,1,-4
"432","afc9c4",5,1,-4
"433","afrv9m",0,3,3
"434","afzdao",1,0,-1
"435","ag6tfs",2,2,0
"436","agoo6n",4,0,-4
"437","agx1dn",1,1,0
"438","ahab8h",0,2,2
"439","ahswkz",4,2,-2
"440","ai8cpu",2,1,-1
"441","aigy0d",3,2,-1
"442","aindwl",0,1,1
"443","aixlum",1,1,0
"444","aj5ffb",1,4,3
"445","ajd4jr",1,2,1
"446","ajm13n",2,2,0
"447","ak0jyi",2,1,-1
"448","ak9crp",2,6,4
"449","akf91d",1,1,0
"450","aklovb",3,1,-2
"451","al383h",5,1,-4
"452","alcfft",1,0,-1
"453","aljgxb",3,1,-2
"454","alx4v1",1,1,0
"455","ands4s",2,2,0
"456","anfh3n",2,1,-1
"457","anqnm5",3,0,-3
"458","aoql9h",1,1,0
"459","aowr4t",1,0,-1
"460","ap47v2",4,2,-2
"461","aphly5",4,0,-4
"462","apuywg",2,1,-1
"463","aq3lmc",1,0,-1
"464","aqak7a",1,0,-1
"465","aqizmr",2,1,-1
"466","ar1ts8",2,0,-2
"467","asbgfo",2,1,-1
"468","asjulr",1,2,1
"469","at47si",4,0,-4
"470","atf3ad",3,3,0
"471","atu47g",2,3,1
"472","au2kvq",1,1,0
"473","au9b2s",1,1,0
"474","auig0m",2,1,-1
"475","auzdn1",4,2,-2
"476","avbzwd",1,0,-1
"477","avktk1",1,3,2
"478","avrb7b",1,5,4
"479","avzu4u",1,1,0
"480","aw8lv8",2,0,-2
"481","awgkfa",0,2,2
"482","ax72vw",2,2,0
"483","axgwmn",1,0,-1
"484","axzsxg",3,2,-1
"485","aye8es",1,0,-1
"486","aynsos",1,1,0
"487","ayuh32",1,1,0
"488","az2gen",0,2,2
"489","azagbc",3,1,-2
"490","azgm6m",2,0,-2
"491","b059xu",2,2,0
"492","b0cv67",2,0,-2
"493","b0ll9z",0,1,1
"494","b0zjfl",1,1,0
"495","b186dm",2,0,-2
"496","b1x590",1,1,0
"497","b25ei3",0,1,1
"498","b2f2oc",0,2,2
"499","b2w4qm",3,3,0
"500","b39ocz",0,2,2
"501","b4rl72",3,1,-2
"502","b4yx63",2,0,-2
"503","b58pza",0,2,2
"504","b5p0z5",1,0,-1
"505","b671bs",4,1,-3
"506","b6hnmh",3,3,0
"507","b7qnzv",1,3,2
"508","b8i1tm",4,1,-3
"509","b9uzz1",1,1,0
"510","baflc3",1,0,-1
"511","bb85p9",1,0,-1
"512","bbmzm7",0,3,3
"513","bby03c",1,2,1
"514","bcbri0",1,1,0
"515","bcpnnc",0,3,3
"516","bdmkln",1,0,-1
"517","bdzam2",2,0,-2
"518","be872n",3,1,-2
"519","bewi0a",5,3,-2
"520","bfly8b",5,2,-3
"521","bgxcjk",0,1,1
"522","bhj045",5,1,-4
"523","bi7nn3",1,2,1
"524","bj3c3e",3,1,-2
"525","bk7lic",1,0,-1
"526","bkm0so",2,0,-2
"527","bl75fb",0,2,2
"528","blesbm",2,2,0
"529","blqzfy",1,1,0
"530","bmnxyd",0,2,2
"531","bmyd2v",1,2,1
"532","bo2mbm",2,1,-1
"533","bok8x5",1,1,0
"534","bovask",0,1,1
"535","bpft8k",1,0,-1
"536","bq2i17",1,5,4
"537","brdp8f",5,1,-4
"538","brmf2o",3,0,-3
"539","btjno1",4,0,-4
"540","btkayn",2,4,2
"541","bukiv1",0,1,1
"542","buqyk4",1,2,1
"543","bwzzey",3,0,-3
"544","bxt4rx",3,0,-3
"545","by90iy",4,1,-3
"546","byk30i",3,1,-2
"547","c2r85t",2,3,1
"548","c45fvy",1,5,4
"549","c5sd5y",0,2,2
"550","c642ch",1,3,2
"551","c6bmhk",1,0,-1
"552","c89giw",0,3,3
"553","c8jqoy",0,1,1
"554","cb0jah",2,0,-2
"555","cbhc23",3,0,-3
"556","ccd7el",4,3,-1
"557","cco5bt",2,1,-1
"558","cdl9p3",1,2,1
"559","cer6c6",1,1,0
"560","cf9opn",1,6,5
"561","cgrb3e",0,2,2
"562","ch2rg9",0,3,3
"563","ciifmd",3,1,-2
"564","cj0sol",0,2,2
"565","cjmr2d",5,2,-3
"566","cjwt6c",2,1,-1
"567","ck6twx",1,3,2
"568","cl3bcp",0,2,2
"569","clil6j",1,2,1
"570","cmpd5y",2,0,-2
"571","cn64si",1,1,0
"572","cnbp08",2,1,-1
"573","conisw",2,1,-1
"574","cpxk2b",1,1,0
"575","cqpno2",5,0,-5
"576","cs04lh",2,0,-2
"577","csi5z1",1,1,0
"578","ctk9ob",2,0,-2
"579","cu4y4i",2,0,-2
"580","cvfqzw",2,0,-2
"581","cvoaso",3,2,-1
"582","cw3owk",2,1,-1
"583","cwfub4",2,2,0
"584","cwm899",2,1,-1
"585","cxfslo",2,1,-1
"586","cxsg83",0,1,1
"587","cy0brh",1,1,0
"588","cyz2yf",5,4,-1
"589","czjde5",1,1,0
"590","d38i8c",4,0,-4
"591","d3kess",2,3,1
"592","d46mg1",1,0,-1
"593","d4rqp3",1,1,0
"594","d5xg2y",1,2,1
"595","d83ysp",0,1,1
"596","d8kuos",2,1,-1
"597","d97anp",1,3,2
"598","d9i626",2,1,-1
"599","da70br",3,0,-3
"600","daf6wr",3,1,-2
"601","dalxhg",1,1,0
"602","dcbb2t",1,3,2
"603","ddywg4",5,0,-5
"604","de4xem",2,0,-2
"605","demezk",2,1,-1
"606","dey74b",3,2,-1
"607","df8sq7",2,3,1
"608","dfivio",2,0,-2
"609","dh704v",1,0,-1
"610","diqste",1,1,0
"611","djeunm",0,1,1
"612","djq7ck",1,0,-1
"613","dkkfno",3,1,-2
"614","dll5jn",3,3,0
"615","dmd8ig",1,3,2
"616","do15e6",0,2,2
"617","do909j",3,0,-3
"618","dqn4sj",1,0,-1
"619","dsxk8g",2,2,0
"620","dtf7le",3,4,1
"621","duy8hz",0,2,2
"622","dv94cb",2,0,-2
"623","dzjb1p",1,0,-1
"624","dzxerl",1,1,0
"625","e06qb8",1,1,0
"626","e10h9m",1,3,2
"627","e3us0j",3,1,-2
"628","e61d4h",2,1,-1
"629","e6pa0n",4,0,-4
"630","e7f7g4",0,5,5
"631","eb087w",2,1,-1
"632","ebk3pd",2,0,-2
"633","ecpc6f",2,1,-1
"634","edulp5",3,1,-2
"635","ee53ou",1,1,0
"636","ef4pv9",2,0,-2
"637","eff4ms",2,1,-1
"638","eiqhvz",1,0,-1
"639","ejm4bo",2,0,-2
"640","ek2414",1,0,-1
"641","elbe2s",2,2,0
"642","emzc7e",3,2,-1
"643","enrox4",5,8,3
"644","eogwtn",3,1,-2
"645","eopcvo",1,2,1
"646","ep9xbv",2,0,-2
"647","ept1w8",4,1,-3
"648","eqy3yk",2,0,-2
"649","eru750",4,4,0
"650","etdaji",3,1,-2
"651","etql4l",0,3,3
"652","eumrum",1,2,1
"653","ev0e7w",4,1,-3
"654","evm0qo",0,2,2
"655","ew9cfl",3,0,-3
