"","document","topic","gamma"
"1","5uilpw",1,0.319215991721657
"2","7en7vl",1,0.338795610722465
"3","7vt58k",1,0.336036873015123
"4","cvoaso",1,0.335908179798764
"5","7ezd5t",1,0.340079628943507
"6","8aec6t",1,0.333848259179832
"7","6i00oy",1,0.33821420173466
"8","7dcwik",1,0.337292663583701
"9","7i3bs6",1,0.316820390467742
"10","7xihva",1,0.335335860988362
"11","6yzr6x",1,0.350837550283776
"12","8tmkfc",1,0.318591847806173
"13","6b3rmg",1,0.349118495032683
"14","6xisxt",1,0.34381605849742
"15","7ld0jk",1,0.325400275017709
"16","7r6qu3",1,0.330549490014617
"17","78gowo",1,0.348001622323734
"18","88p6rp",1,0.335588714789222
"19","6gl289",1,0.328398305382999
"20","8p3ora",1,0.326881687883622
"21","7n1ylm",1,0.321739574792506
"22","8on59a",1,0.365300519907003
"23","9obfbu",1,0.327499391462158
"24","7xd14t",1,0.341846768730741
"25","7jjukm",1,0.333822993693899
"26","c45fvy",1,0.322409372720626
"27","8rutrj",1,0.338309378798285
"28","6wgtsx",1,0.340452172755316
"29","7d6cjy",1,0.335582013187021
"30","7t3vyo",1,0.329301227987041
"31","99ph2b",1,0.315151088140896
"32","72esi8",1,0.333238567776295
"33","730mq7",1,0.336259099186527
"34","acjzv0",1,0.333336073091934
"35","6vip7h",1,0.351286978605801
"36","6o18uh",1,0.339203354013413
"37","auig0m",1,0.341188631592776
"38","4xzr87",1,0.339029314885279
"39","87ak6w",1,0.341316031079752
"40","8vyqdq",1,0.33357621295865
"41","hhgh0y",1,0.335813084267817
"42","79ybz1",1,0.315090395349553
"43","7lzk5g",1,0.335863398659175
"44","7hg228",1,0.322621844465592
"45","60w89c",1,0.34555157886185
"46","8h0e7k",1,0.330217381087283
"47","6xngfe",1,0.328993007226227
"48","5w4x14",1,0.315910433230804
"49","a1b5yu",1,0.333976346239809
"50","lh81ht",1,0.350561470864822
"51","a23n2z",1,0.331820672962422
"52","7uyxhp",1,0.334711177017832
"53","aw8lv8",1,0.319687273602346
"54","7rb6uj",1,0.327824017168423
"55","b2w4qm",1,0.344257745665875
"56","a8twz3",1,0.335329698760828
"57","7n887l",1,0.326439713230138
"58","90u1iv",1,0.324197925879362
"59","gq97qf",1,0.312974843526743
"60","fznjqe",1,0.329905411316386
"61","hrkod1",1,0.335269481063363
"62","ax72vw",1,0.332926882201018
"63","68f5c5",1,0.327566906485158
"64","bj3c3e",1,0.328569221806307
"65","5e6rcz",1,0.330238438919759
"66","aj5ffb",1,0.325184208939081
"67","8uu474",1,0.328481881337532
"68","8a18sf",1,0.335026892536861
"69","9v92t2",1,0.335623924425718
"70","9gwz1h",1,0.332727423837537
"71","cbhc23",1,0.330516971323043
